form	count	children	category	sample_context	spanish
hoy	223	Mateo(210); Francisco(10); Isabel(3)		¿hoy? | ¿hoy?	¿qué? | ¿qué?
ix	221	Mateo(156); Yeseña(47); Isabel(15); Francisco(3)		b'at wil ix nene'. | ix wila'.	voy ir ha ver a la nena. | lo ví.
ni	193	Mateo(89); Yeseña(63); Isabel(34); Brendo(4); Francisco(3)		 | ni´i´.	aquí esta mi caballo. | aquí está.
ma'ay	162	Mateo(84); Francisco(63); Yeseña(10); Isabel(5)		ma'ay. | ma'ay.	no. | no.
ni'i	160	Mateo(104); Yeseña(26); Francisco(23); Isabel(7)		ni'i. | ni'i.	mirá. | mirá.
tik	108	Mateo(59); Yeseña(33); Isabel(11); Brendo(3); Francisco(2)		ha nok´ tik. | ni nok´ hinchej tik.	es esto. | aquí esta mi caballo.
hi'	108	Mateo(78); Isabel(15); Yeseña(8); Francisco(7)		hi'. | hi'.	sí. | sí.
chi'	103	Mateo(61); Yeseña(22); Isabel(18); Francisco(2)		in nok' chi'. | ha t'ay chi'.	allí está. | allí.
hin	101	Mateo(90); Yeseña(7); Francisco(2); Isabel(2)		hin karro. | nok' hin wol.	mi carro. | mi pelota.
yo	99	Mateo(90); Isabel(4); Yeseña(4); Francisco(1)		yo! | ¡yo!.	ho! | ¡oh!.
ha	94	Mateo(64); Isabel(13); Yeseña(13); Brendo(3); Francisco(1)		ha´in. | ha nok´ tik.	yo. | es esto.
weno	89	Yeseña(51); Mateo(30); Francisco(6); Isabel(2)		weno. | weno.	bueno. | bueno.
ay	80	Mateo(41); Isabel(21); Yeseña(11); Francisco(6); Brendo(1)		ma´ay. | ay.	no. | hoo.
nunin	76	Mateo(34); Isabel(30); Yeseña(10); Francisco(2)		nunin. | nunin.	mamá. | mamá.
nok'	73	Mateo(48); Yeseña(16); Francisco(5); Isabel(4)		ikut nok'. | ni nok'.	traeme la pelota. | aquí está.
t'ay	71	Mateo(65); Yeseña(3); Isabel(2); Francisco(1)		ha t'ay chi'. | t'ay chi'.	allí. | ahí.
kak'	67	Mateo(64); Yeseña(2); Isabel(1)		kak' karro. | kak' tajnel.	juguemos ha carro. | jugamos.
o	64	Isabel(27); Mateo(26); Yeseña(11)		ak'kot wib'an o ak'kot t'a yich hinpatik. | tz'em punhnajok o tz'em latnajok.	damelo en la espalda. | se caé.
ni'	62	Yeseña(53); Isabel(6); Mateo(3)		ni'. | ni' tik.	ten. | aquí está.
wol	61	Mateo(55); Francisco(4); Isabel(2)		nok' hin wol. | wol.	mi pelota. | gol.
an	56	Mateo(53); Isabel(2); Francisco(1)		yam chi an. | an.	agarrá eso pues. | an.
lemach	52	Mateo(50); Yeseña(2)		lemach. | lemach.	venga. | ven√≠.
nene'	45	Mateo(25); Yeseña(11); Isabel(8); Francisco(1)		b'at wil ix nene'. | nene'.	voy ir ha ver a la nena. | nene.
a	40	Mateo(36); Yeseña(3); Isabel(1)		a /b'i. | ha ix mama.A	escucha. | fue mam·.
el	36	Mateo(36)		el ni√±o imitan unos sonidos. | imita el sonido del carro.	el ni√±o imitan unos sonidos. | imita el sonido del carro.
karro	35	Mateo(27); Isabel(4); Yeseña(3); Francisco(1)		hin karro. | kak' karro.	mi carro. | juguemos ha carro.
k'en	31	Mateo(25); Yeseña(4); Brendo(1); Isabel(1)		malaj k'en. | k'en karro.	no hay. | el carro.
tas	30	Mateo(21); Isabel(6); Francisco(2); Yeseña(1)		¿tas? | tas?	¿qué? | que?
winh	30	Yeseña(14); Mateo(13); Isabel(3)		winh hinmam. | ix b'at winh t'a chi'.	mi papá. | él se fue para ya.
jun	30	Mateo(19); Yeseña(6); Isabel(5)		b'ajtil ayek' winh jun. | jun elxo.	donde se encuentra él pues. | otra vez.
nun	30	Yeseña(13); Mateo(11); Isabel(6)		ha' ixin nun tik. | nun o nunin.	está es mi mamá. | mamá.
junxo	30	Mateo(28); Yeseña(2)		junxo k'entik. | junxo k'en chi.	otro mi carro. | es el otro.
ewin	30	Yeseña(29); Mateo(1)		elanh ewin. | Ewin.	eva quitate. | E.
t'a	28	Yeseña(16); Mateo(9); Isabel(3)		ak'kot wib'an o ak'kot t'a yich hinpatik. | ix b'at winh t'a chi'.	damelo en la espalda. | él se fue para ya.
mamin	27	Yeseña(15); Isabel(9); Mateo(2); Francisco(1)		mamin. | mamin.	papá. | papá.
tzin	27	Mateo(11); Yeseña(8); Francisco(5); Isabel(3)		tzin emi. | tzin emi.	bajenme. | bajame.
otela	27	Mateo(27)		otela. | otela.	otela.(nombre del perro). | otela.(nombre del perro)
put	27	Mateo(27)		wak' put. | ni hin put chi'.	voy a jugar fut. | ahi esta mi fut.
in	26	Mateo(24); Brendo(1); Francisco(1)		ha´in. | in nok' chi'.	yo. | allí está.
b'at	26	Mateo(18); Yeseña(5); Isabel(2); Francisco(1)		b'at wil ix nene'. | ix b'at ix.	voy ir ha ver a la nena. | se fue ella.
ho	26	Isabel(24); Yeseña(2)		ho. | ho u hoy.	¡oh!. | ¡oh! o si.
i'	25	Yeseña(22); Mateo(2); Isabel(1)		i'. | i'.	si. | si.
han	24	Yeseña(16); Mateo(5); Isabel(3)		hinkuch ix han. | han.	la cargo pues. | pues.
tajnel	23	Mateo(19); Yeseña(3); Francisco(1)		tajnel. | kak' tajnel.	jugar. | jugamos.
elanh	23	Mateo(16); Yeseña(4); Francisco(3)		elanh. | elanh.	salite. | salite.
ana	23	Mateo(20); Yeseña(3)		ix ana. | yak'an ix ana.	ana. | hac√≠a ana.
te'	22	Yeseña(18); Mateo(3); Isabel(1)		te'. | ni te'.	palo. | aqui esta.
chi	21	Mateo(15); Yeseña(3); Isabel(2); Francisco(1)		yam chi an. | Malpal xa chi.	agarrá eso pues. | María decí.
womwa	21	Mateo(21)		ha womwa. | ha womwa.	es bomba. | es bomba.
junchi'	20	Mateo(19); Francisco(1)		junchi'. | ¬øtas junchi'?	ese. | ¬øqu√© es ese?
lolo'	20	Mateo(16); Isabel(4)		lolo' (pek'al). | lolo' (pek'al).	glotones. | glotones.
esta	19	Mateo(19)		el ni√±o esta toseando. | el ni√±o esta toseando.	el ni√±o esta toseando. | el ni√±o esta toseando.
tek'	18	Mateo(14); Yeseña(3); Francisco(1)		tek'. | ix hin tek' k'en karro.	patear. | pateo el carro.
wil	17	Mateo(15); Francisco(1); Yeseña(1)		b'at wil ix nene'. | /wil tele.	voy ir ha ver a la nena. | voa a ver tele.+ M
lem	17	Mateo(9); Isabel(5); Yeseña(3)		lem. | lem.	ven o vení. | ven.
ixta'	17	Mateo(10); Yeseña(7)		ixta'. | ixta'.	ya est√°. | ya est√°.
sb'at	17	Mateo(16); Yeseña(1)		ni sb'at k'en karro chi'. | sb'at nok'.	alli va el carro. | se va.
geni	16	Isabel(16)		geni. | geni.	geni. | Geni.
kak'xi	16	Mateo(16)		kak'xi tajnel, kak'xi tajnel. | kak'xi tajnel, kak'xi tajnel.	jugamos otra vez, jugamos otra vez. | jugamos otra vez, jugamos otra vez.
mama	16	Mateo(14); Yeseña(2)		mama hi wa'ok. | ha ix mama.	mami voy a comer. | la mam·.
to	15	Isabel(7); Mateo(4); Yeseña(4)		to wik k'ak payu' tik. | to.	es que es mío el panuelo. | to.
yak'ani	15	Mateo(15)		yak'ani. | ( ). yak'ani.	as√≠ lo hizo. | ( ) dec√≠a.
mansan	15	Yeseña(15)		mansan. | mansan.	manzana. | manzana.
yadira	15	Yeseña(15)		Yadira. | Yadira.	Yadira. | Yadira.
malaj	14	Mateo(6); Isabel(3); Yeseña(3); Brendo(2)		malaj nok´. | malaj k'en.	no esta. | no hay.
tumin	14	Mateo(13); Francisco(1)		tumin. | ak' junok hin tumin.	dinero. | dame un dinero.
chillando	14	Mateo(14)		el ni√±o esta chillando. | el  ni√±o esta chillando.	el esta ni√±o chillando. | el ni√±o esta chillando
edwinh	14	Mateo(14)		/kak' wol edwinh. | /ni edwinh.	juguemos pelota Edvin. | tenh E.
punh	13	Mateo(10); Francisco(3)		punh. | punh.	( ). | ( ).
b'ajay	13	Mateo(6); Yeseña(4); Francisco(3)		¿b'ajay k'e'en? | ¿b'ajay?	¿dónde está? | ¿dónde está.
yam	13	Mateo(11); Francisco(1); Yeseña(1)		yam chi an. | manh ha yam laj ix.	agarrá eso pues. | no toque a ella.
ol	13	Mateo(8); Yeseña(5)		to ol jawok nok. | ol el punh naj ix.	esque va ha venir un animal. | se va caer ella.
ab'i	13	Mateo(13)		ab'i. | ab'i.	oye. | escucha.
ha'in	13	Yeseña(10); Mateo(3)		ha'in xo. | ha'in.	ahora yo. | yo.
nena	13	Mateo(12); Yeseña(1)		ni ix nena. | /ni ix nena.	mira la nena. | mira la nena.
nulej	13	Yeseña(13)		nulej ni hatek. | nulej.	hermana aquí tienes tu comida. | hermana.
lina	12	Isabel(9); Yeseña(3)		Lina o Axul. | Lina o Axul.	A. | A.
tek	12	Yeseña(11); Mateo(1)		hin tek. | tek.	mi comida. | comida.
kape	12	Yeseña(12)		kape. | kape.	café. | café.
xapon	12	Yeseña(12)		xapon. | xapon chi'.	jabón. | jabón pues.
ixin	11	Mateo(6); Isabel(2); Yeseña(2); Francisco(1)		ixin k'unb'i. | ha' ixin nun tik.	me cansé. | está es mi mamá.
k'e'en	11	Mateo(9); Francisco(1); Yeseña(1)		¿b'ajay k'e'en? | kak' tajnel in k'e'en.	¿dónde está? | aqu√≠ est√° tu juguete jugamos.
juntik	11	Mateo(9); Francisco(2)		juntik. | ilnab' juntik.	esto. | mire esto.
mi	11	Yeseña(10); Isabel(1)		mi. | deja en mi lado.	mi. | ak'em t'a hintzeya'.
la	11	Yeseña(10); Mateo(1)		tek' la  wol. | la señorita.	patea la pelota. | ix kopes.
i	10	Brendo(6); Isabel(3); Yeseña(1)		 | ni´i´.	si. | si.
ak'	10	Mateo(9); Francisco(1)		ak' wol. | ak'.	juega pelota. | dame.
em	10	Mateo(8); Isabel(1); Yeseña(1)		ix em wuk'ab'. | konh em kuman.	se cayó mi plato. | nos ponemos derrodillas.
te	10	Mateo(6); Yeseña(3); Isabel(1)		te. | yo ha'inxo ixin chonh te tik.	te. | y yo vend√≠ este palo.
mam	10	Mateo(5); Yeseña(3); Isabel(2)		mam. | mam.	mam. | mam.
ichatik	10	Mateo(10)		ichatik tzin ajk'i'i. | ichatik.	as√≠ voy a pararme. | as√≠ es.
yolonhte'	10	Yeseña(10)		Yolonhte' | Yolonhte'.	Aldea Yolonhte'. | Aldea Yolonhte'.
ini	9	Mateo(4); Yeseña(4); Francisco(1)		ini tik. | ini nok'chi.	aquí está. | all√≠ esta  el perro.
axul	9	Isabel(6); Yeseña(3)		Lina o Axul. | Lina o Axul.	A. | A.
chej	9	Yeseña(7); Isabel(2)		nok' chej. | nok' chej.	el caballo. | el caballo.
malin	9	Yeseña(7); Isabel(1); Mateo(1)		Malpal o Malin. | ix malin.	María. | maria.
yonh	9	Mateo(5); Isabel(3); Yeseña(1)		yonh. | ¡yonh!	¡oh!. | ¡oh!
ta	9	Isabel(5); Mateo(2); Yeseña(2)		ta. | ta.	ta. | ta.
hi	9	Mateo(5); Yeseña(4)		tzaxo hi jarik'i. | hi gayeta.	ya puedo atracar. | mi galleta.
karo	9	Mateo(9)		kak' karo. | kak' karo yet' ix.	jugamos carro. | jugamos carro con ella.
juk'wanh	9	Yeseña(9)		juk'wanh han. | juk'wanh.	lavá pues (ropa). | lavá (lavar ropa).
m	8	Mateo(4); Yeseña(3); Isabel(1)		m. | hin wol, junxo hin wol.+ M	m. | mi pelota, otra mi pelota.
mmm	8	Isabel(4); Yeseña(4)		mmm. | mmm gol.	mmm. | mmm gol.
ko	8	Mateo(5); Yeseña(2); Isabel(1)		ko. | ko jul ke.	co. | amos a tirar vos.
haxo	8	Mateo(6); Yeseña(2)		haxo k'en tuktuk. | haxo junchi'.	ahora el tuctuc. | el otro.
kuman	8	Mateo(8)		emam kuman t'achi'an. | emam kuman.	incate all√≠. | incate.
ponh	8	Mateo(8)		ponh. | ponh /yak'ani.	( ). | pum dice.
ixim	8	Mateo(6); Yeseña(2)		ha ixim chi'. | ha ixim hin kelleta.	es esa galleta. | una mi galleta.
wo'och	8	Yeseña(5); Mateo(3)		/ak' wo'och. | wo'och.	dame comida. | mi comida.
yama'	8	Yeseña(5); Mateo(3)		/yama'. | /yama'.	agarralo. | agarra.
lusin	8	Yeseña(8)		ix nun Lusin. | ix Lusin.	Doña Lucia. | La Lucía.
cha'ab'	8	Yeseña(8)		cha'ab'. | cha'ab'.	dos. | dos.
nholob'	8	Yeseña(8)		ni nholob'. | nholob'.	tenga huevo. | huevo.
xela	8	Yeseña(8)		hat'a xela. | ha/t'a xela.	en Xela. | allí en Xela.
nok	7	Brendo(4); Mateo(2); Yeseña(1)		ha nok´ tik. | malaj nok´.	es esto. | no esta.
konhach	7	Mateo(4); Yeseña(2); Francisco(1)		konh, konhach. | konhach.	vamos, vamos. | vamos.
de	7	Yeseña(5); Isabel(2)		hann (sonido de los carros). | 	hann (sonido de los carros). | ix nene' ix Tatey (Malin).
pek'al	7	Isabel(7)		lolo' (pek'al). | lolo' (pek'al).	glotones. | glotones.
wixta'	7	Yeseña(3); Isabel(2); Mateo(2)		wixta'. | wixta'.	mi juguete. | mi juguete.
gol	7	Mateo(4); Isabel(3)		gol (wol). | gol (wol).	gol. | gol.
tin	7	Isabel(7)		tin. | tin.	tin. | tin.
ta'	7	Mateo(5); Isabel(1); Yeseña(1)		hin ta'. | wawtej winh ta'.	yo allí. | llamo √©l all√≠.
wa'il	7	Yeseña(4); Mateo(3)		wa' ha wa'il. | wa' ha wa'il.	come tu tortilla. | come tu tortilla.
b'ati	7	Mateo(5); Yeseña(2)		a'intik, tik tzin b'ati. | b'ajtil tzonh b'ati?	yo ya me voy. | a donde nos vamos?
xuwan	7	Yeseña(6); Mateo(1)		xuwan ix. | Xuwan.	ella es J. | Juana.
chamanh	7	Yeseña(4); Mateo(3)		chamanh. | /chamanh.	muerete. | muere.
yulch'en	7	Yeseña(7)		i' t'a Yulch'en. | Yulch'en.	si en la Aldea de Yulch'en. | Aldea Yulch'en.
anhb'al	7	Yeseña(7)		anhb'al. | syuk' anhb'al.	medicina. | va a tomar medicina.
wicham	7	Yeseña(7)		ix wicham. | winh wicham.	tía. | tío.
mach	6	Mateo(4); Brendo(1); Yeseña(1)		mach. | mach?	cuál. | qui√©n?
en	6	Yeseña(5); Brendo(1)		hak´en kuchwajum. | deja en mi lado.	es carro. | ak'em t'a hintzeya'.
konh	6	Mateo(3); Francisco(1); Isabel(1); Yeseña(1)		konh, konhach. | konh.	vamos, vamos. | vamos.
malpal	6	Isabel(6)		Malpal xa chi. | Malpal.	María decí. | María.
pa	6	Isabel(4); Yeseña(2)		pa. | pa.	pa. | pa.
xi	6	Mateo(4); Isabel(1); Yeseña(1)		weno xi ix. | ak' hip xi.	bueno dice ella. | dale fuerza dice.
am	6	Isabel(6)		am. | am.	am. | am.
pat	6	Yeseña(4); Isabel(1); Mateo(1)		pat. | t'ay chi', t'ay pat.	casa. | ahi en casa.
ji	6	Isabel(4); Yeseña(2)		ji. | ji.	ji. | ji.
no	6	Yeseña(3); Mateo(2); Isabel(1)		no. | 	no. | ma'ay.
k'entik	6	Mateo(6)		junxo k'entik. | in chelb'at k'entik.	otro mi carro. | lo llevo este.
antun	6	Mateo(6)		Antun. | antun, antunnn.	Antonio. | Antono, antonio.
t'ayin	6	Mateo(6)		lemach t'ayin. | tek'kut t'ayin edwinh.	ven√≠ a m√≠. | patealo conmigo E.
v	6	Mateo(6)		elanh V. | jelanach V.	V sal√≠. | V lista.
wak'	6	Mateo(6)		wak' jakxo et'ok. | wak' tajnel.	voy a jugar otro poco contigo. | voy a jugar.
ju'un	6	Mateo(3); Yeseña(3)		ju'un. | ju'un.	uno. | uno.
ke	6	Mateo(6)		tas ha b'i ke? | ko jul ke.	como te llamas vos? | amos a tirar vos.
jul	6	Mateo(6)		jul. | /jul.	tirar. | tirar.
k'e	6	Yeseña(5); Mateo(1)		tzin k'e linhan. | olach k'e ika.	me pongo de pie. | te vas a subir en el temascal.
yune'	6	Yeseña(6)		yune'. | yune'.	nena. | nena.
wajxake'	6	Yeseña(6)		wajxake'. | wajxake'.	ocho. | ocho.
hanok'	6	Yeseña(6)		hanok' kalnel. | hanok'.	es la oveja. | es el (se refiere al hhuevo).
salchicha	6	Yeseña(6)		salchicha. | salchicha.	salchicha. | salchicha.
yol	6	Yeseña(6)		t'a Yol onhte'. | Yol onhte'.	en la Aldea Yol onhte'. | Yol onhte'.
mis	6	Yeseña(6)		mis ojos. | mis pies.	yol hinsat. | wo'ok'.
k'unb'i	5	Francisco(3); Mateo(2)		ixin k'unb'i. | tzin k'unb'i.	me cansé. | me canso.
eli	5	Mateo(4); Francisco(1)		eli. | /lemach eli.	salir. | venga eli.
emanh	5	Mateo(4); Isabel(1)		emanh k'ojan. | emanh /kuman.	sentate. | ponete derrodillas.
olin	5	Mateo(3); Isabel(1); Yeseña(1)		olin kuch ix. | manh olin /b'atlaj.	la voy ha cargar. | no voy a ir.
ikot	5	Mateo(2); Yeseña(2); Isabel(1)		ikot chi'. | ikot juntzantik nun.	traé eso. | mam√° traeme estos.
ha'	5	Isabel(4); Yeseña(1)		ha' ixin nun tik. | ha'.	está es mi mamá. | agua.
tit	5	Isabel(5)		tit. | tit.	tit. | tit.
ya'	5	Mateo(3); Isabel(1); Yeseña(1)		ya'. | /ya'.	duele. | duele.
och	5	Mateo(5)		ix och chak'najok. | lemach, ni' och.	se accident√≥. | ven√≠ tene tu tortilla.
hannn	5	Mateo(5)		han hannn. | hannn.	( ). | ( ),
jelanach	5	Mateo(5)		jelanach an. | jelanach V.	listo pues. | V lista.
tono	5	Mateo(5)		Tono (Antun). | Tono (antun)	Antonio. | Antonio.
manto	5	Mateo(5)		manto kik'illaj. | manto b'ela.	no hemos quitado. | espera por favor.
k'apak	5	Mateo(4); Yeseña(1)		¬øyo tom malaj sb'olxaxil k'apak? | ha k'apak kamix.	¬øa poco  no tiene bolsa? | es la camisa.
wach'	5	Mateo(3); Yeseña(2)		wach' yam winh an. | wach'?	bueno agarralo √©l. | esta bien?
icha	5	Yeseña(4); Mateo(1)		¬øicha tik? | icha tontik.	¬øas√≠? | eso así es.
b'uch	5	Mateo(5)		hin b'uch. | hin b'uch.	mi nixtamal. | mi nixtamal.
ik'kut	5	Mateo(5)		/ik'kut nok' an. | /ik'kut no'.	traelo pues. | trelo.
schumama	5	Mateo(5)		schumama. | schumama.	dejalo. | dejalo.
nok'tik	5	Mateo(5)		/ni nok'tik. | junxo nok'tik.	zqui esta? | el otro.
ayik'	5	Mateo(5)		ayik' ix. | ayik' ix t'ay tik.	ella est·. | est· ella aqui.
t'aytik	5	Mateo(5)		t'aytik. | t'aytik.	aqui. | aqui.
mamá	5	Mateo(3); Yeseña(2)		mamá. | yo mamá!.	mamá. | oh mamá!
mm	5	Yeseña(5)		mm. | mm.	mm. | mm.
chichim	5	Yeseña(5)		chichim. | ix nun chichim.	anciana. | la abuela.
y	5	Yeseña(5)		Y. | Y.	Y. | Y.
e	5	Yeseña(5)		e. | si va ha ser E.	e. | i' ha' ix Ewin.
remeyo	5	Yeseña(5)		remeyo chi'. | uk' remeyo tik.	la medicina. | tomate esta medicina.
emi	4	Francisco(2); Mateo(2)		tzin emi. | tzin emi.	bajenme. | bajame.
ik'kuti	4	Francisco(2); Mateo(2)		ik'kuti. | ik'kuti.	traelo. | traelo.
wik	4	Isabel(2); Mateo(1); Yeseña(1)		to wik k'ak payu' tik. | wik chi'.	es que es mío el panuelo. | mía esa.
hann	4	Isabel(2); Mateo(2)		hann (sonido de los carros). | hann hannnnnnn.	hann (sonido de los carros). | hann hannnnnnn. (sonido de los carros).
sonido	4	Mateo(3); Isabel(1)		hann (sonido de los carros). | imita el sonido del carro.	hann (sonido de los carros). | imita el sonido del carro.
los	4	Mateo(3); Isabel(1)		hann (sonido de los carros). | los ni√±os chillan	hann (sonido de los carros). | los ni√±os chillan
hinmam	4	Yeseña(3); Isabel(1)		winh hinmam. | winh hinmam.	mi papá. | mi papá.
b'atok	4	Mateo(3); Isabel(1)		b'atok. | hin b'atok.	se va. | me voy.
alo	4	Isabel(4)		alo o tajxi. | alo o tajxi.	alo o diga. | alo.
tajxi	4	Isabel(3); Yeseña(1)		alo o tajxi. | alo o tajxi.	alo o diga. | alo.
pan	4	Isabel(3); Yeseña(1)		pan. | pan.	pan. | pan.
hu	4	Isabel(4)		hu. | ¡hu!	hu. | ¡uh!
hanh	4	Yeseña(2); Isabel(1); Mateo(1)		hanh. | hanh hanh'.	tu planta. | ( ).
nhikan	4	Mateo(4)		nhikan. | nhikan hach.	alerta. | hay que estar lista.
xum	4	Mateo(4)		xum. | xum.	( ). | ( ).
hach	4	Mateo(4)		nhikan hach. | nhikan hach an.	hay que estar lista. | listo pues.
ha'ach	4	Mateo(4)		ha'ach. | ha'ach ixixtej.	esres t√∫. | usted lo destruyo.
hip	4	Mateo(4)		hip. | hip, hip.	fuerza. | duro, duro.
wa'	4	Mateo(3); Yeseña(1)		wa' ha wa'il. | wa' ha wa'il.	come tu tortilla. | come tu tortilla.
alex	4	Mateo(4)		Alex. | ha alex ol wala'.	Alex. | Alex voy a decir.
yet'	4	Mateo(2); Yeseña(2)		kak' karo yet' ix. | hin /tajnok yet' ix.	jugamos carro con ella. | /juego con ella.
del	4	Mateo(3); Yeseña(1)		imita el sonido del carro. | imitando el sonido del carro.	imita el sonido del carro. | imitando el sonido del carro.
tik'	4	Mateo(3); Yeseña(1)		nijunxo tik' yik' ( ). | nijunxo karo tik'.	aqui esta otro es de ( ). | aqui esta otro carro.
toseando	4	Mateo(4)		el ni√±o esta toseando. | el ni√±o esta toseando.	el ni√±o esta toseando. | el ni√±o esta toseando.
akoti	4	Mateo(4)		akoti. | akoti, akoti.	damelo. | damelo.
se	4	Yeseña(3); Mateo(1)		el ni√±o se esta chullando. | se.	el ni√±o se esta chullando. | se.
ixtej	4	Mateo(3); Yeseña(1)		ixtej karro ni'i. | ixtej karro nene¬¥.	aqu√≠ est√° tu carro hay que jugar. | juega con carro nena.
manh	4	Mateo(3); Yeseña(1)		manh ha yam laj ix. | manh hina tek'a' junxonhej rato weno hayaj ko b'at chi b'i'an.	no toque a ella. | no me pateas solo un rato buno y nos vamos.
wan	4	Mateo(3); Yeseña(1)		wan sk'eta ix. | malaj tas wan hin /k'ulani.	ella est√° subiendo. | no estoy haciendo nada.
wa'ok	4	Mateo(4)		hin wa'ok. | hin wa'ok.	quiero comer. | quiero comer.
max	4	Mateo(4)		max ellaj ix. | max k'elaj t'ay tik.	no sale ella. | no sube aqu√≠.
gayeta	4	Mateo(4)		hi gayeta. | gayeta.	mi galleta. | galleta.
kamix	4	Mateo(4)		hato t'ay chi ol och juntik t'a hin kamix tik. | ni hin kamix.	hasta all√≠ me van ha poner esto en mi camisa.. | mi camisa.
chab'	4	Mateo(4)		chab'. | chab' tik.	dos. | este es uno.
tzonh	4	Mateo(4)		b'ajtil tzonh b'ati? | tik tzonh emxi.	a donde nos vamos? | nos vajamos.
rato	4	Mateo(2); Yeseña(2)		jun rato. | manh hina tek'a' junxonhej rato weno hayaj ko b'at chi b'i'an.	mas tarde. | no me pateas solo un rato buno y nos vamos.
hatik	4	Mateo(4)		hatik. | hatik.	esto. | a qui.
yik	4	Mateo(2); Yeseña(2)		ak' ixim yik waj matin tik. | yik ix.	/dae uno a M. | es de ella.
