form	count	children	category	sample_context	spanish
pistola	4	Mateo(4)		hin pistola. | pistola.	mi pistola. | pistola.
manhxo	4	Mateo(4)		manhxo. | manhxo.	ya no. | ya no.
ixta	4	Mateo(3); Yeseña(1)		/al juntzanh ixta chi'. | ay ixta ta'.	pesa esos juguetes. | hay juguetes ahi.
winhin	4	Mateo(4)		winhin mam. | winhin papa.	mi padre. | mi padre.
kananh	4	Mateo(4)		/kananh. | /kananh b'at /wil ix A.	quedate. | quedate voy a ver a A.
sb'ati	4	Mateo(2); Yeseña(2)		yo /sb'ati! | yo /sb'ati!	oh se va! | oh se va!
wiko'	4	Yeseña(3); Mateo(1)		wiko'. | wiko'.	mio. | es mío.
si	4	Yeseña(3); Mateo(1)		si. | si va ha ser E.	( ). | i' ha' ix Ewin.
ich	4	Yeseña(4)		ich. | mam ich.	chile. | abuelito.
hatek	4	Yeseña(4)		nulej ni hatek. | ni' hatek	hermana aquí tienes tu comida. | ten tu comida.
nono'	4	Yeseña(4)		¡uyyy nok' nono'! | nono'.	¡uyyy el monstro!. | monstro.
huke'	4	Yeseña(4)		huke'. | huke'.	siete. | siete.
ika	4	Yeseña(4)		olach k'e ika. | ixach k'e ika.	te vas a subir en el temascal. | te subiste en el temascal
ko'och	4	Yeseña(4)		kak'och ko'och. | kob'itz'och ko'och.	torteamos tortilla. | torteamos nuestra tortilla.
tzon	4	Yeseña(4)		tzon k'e wanh. | tzon wayi.	nos levantamos. | vamos ha dormir.
escuchá	4	Yeseña(4)		escuchá. | escuchá.	hab'i. | hab'i.
tocá	4	Yeseña(4)		tocá. | tocá.	yama'. | yama'.
hat'a	4	Yeseña(4)		hat'a xela. | hat'a tik.	en Xela. | es aquí.
ikut	3	Mateo(2); Francisco(1)		ikut nok'. | ikut ix.	traeme la pelota. | traela ella.
tek'a'	3	Francisco(2); Mateo(1)		tek'a'. | tek'a'.	patea. | patea.
yamin	3	Mateo(2); Francisco(1)		yamin. | yamin.	agarrame. | agarrame.
ilnab'	3	Mateo(2); Francisco(1)		ilnab' juntik. | /ilnab' jun pusipus.	mire esto. | mira un globo.
he	3	Isabel(2); Yeseña(1)		he. | he.	eh. | ¡eh!.
u	3	Isabel(3)		ho u hoy. | u.	¡oh! o si. | u.
tz'em	3	Isabel(3)		tz'em punhnajok o tz'em latnajok. | tz'em punhnajok o tz'em latnajok.	se caé. | se caé.
hinpek'al	3	Isabel(3)		hinlolo' o hinpek'al. | tzik'ot hinpek'al.	mi glotón. | me traes glotones.
ak'a	3	Isabel(3)		ak'a. | ak'a.	dale. | dale.
mmmm	3	Isabel(2); Yeseña(1)		mmmm. | mmmm.	mmmm. | mmmm.
n	3	Mateo(2); Isabel(1)		N. | Mat√≠n.	N. | M .
ti	3	Mateo(2); Isabel(1)		ti ¡ay! | in junxo ti.	ti ¡ay! | aqui esta otro.
ja	3	Isabel(3)		ja. | ja.	ja. | ja.
aj	3	Isabel(3)		aj. | ¡aj!	¡aj! | ¡aj!
tonhej	3	Yeseña(2); Mateo(1)		tonhej. | tonhej.	nomas. | no más.
ha'inxo	3	Mateo(2); Yeseña(1)		yo ha'inxo ixin chonh te tik. | ha'inxo.	y yo vend√≠ este palo. | ahora yo.
otelo	3	Mateo(3)		otelo. | otelo.	otelo.(nombre del perro). | otela (nombre del perro).
tasb'ani	3	Mateo(3)		tasb'ani. | ¬øtasb'ani?	que dice. | ¬øc√≥mo dijiste?
emam	3	Mateo(3)		emam kuman t'achi'an. | emam kuman.	incate all√≠. | incate.
wawtej	3	Mateo(3)		wawtej winh ta'. | wawtej..	llamo √©l all√≠. | lo llamo.
nh'	3	Mateo(3)		nh' | nh' nh'.	ahora. | ( ).
lemach'an	3	Mateo(3)		lemach'an. | lemach'an.	ven√≠ pues. | ven√≠ pues.
tak'wanh	3	Mateo(3)		tak'wanh nun. | tak'wanh Ixchel.	responde mam√°. | Ixchel contesta.
wa'i	3	Yeseña(2); Mateo(1)		to tzech wa'i. | wa'i.	van ha comer. | comiendo.
carro	3	Mateo(3)		imita el sonido del carro. | imitando el sonido del carro.	imita el sonido del carro. | imitando el sonido del carro.
nijunxo	3	Mateo(3)		nijunxo tik' yik' ( ). | nijunxo kokaro tik.	aqui esta otro es de ( ). | aqui tenemos otro carro.
imitando	3	Mateo(3)		imitando el sonido del carro. | imitando cansancio el ni√±o.	imitando el sonido del carro. | imitando cansancio el ni√±o.
tanhwej	3	Mateo(2); Yeseña(1)		tanhwej b'ela'. | tanhwej b'ela.	esperala. | esperate.
k'entik'	3	Mateo(3)		jelanach t'a junxo k'entik'. | junxo k'entik'.	lista a este otro carro. | el otro carro.
kixta	3	Mateo(3)		kixta an nun. | kixta lemach.	nuestra juguete mam√°. | nuestra juguete ven√≠.
chilla	3	Mateo(3)		el ni√±o chilla. | el ni√±o chilla.	el ni√±o chilla. | el ni√±o chilla.
os	3	Mateo(3)		los ni√±os chillan | los ni√±os chillan.	los ni√±os chillan | los ni√±os chillan.
chillan	3	Mateo(3)		los ni√±os chillan | los ni√±os chillan.	los ni√±os chillan | los ni√±os chillan.
hay	3	Yeseña(2); Mateo(1)		hay. | hay.	( ). | ¡ay!.
l	3	Yeseña(2); Mateo(1)		yo tz√©l k'e'en. | L.	ho se est√° saliendo. | Lina o Axul.
b'ajti'il	3	Mateo(3)		b'ajti'il? | ¬øb'ajti'il?	d√≥nde? | ¬ød√≥nde?
ho'och	3	Yeseña(2); Mateo(1)		¬øho'och? | ni ho'och.	¬øtortilla? | ten tus tortillas.
al	3	Mateo(3)		al ix. | al ix.	pesa ella. | pesa ella.
kani	3	Mateo(3)		kak' kani. | ix kani.	dejamoslo. | se quedÛ.
ha'intik	3	Mateo(3)		ha'intik. | ha'intik.	yo. | yo.
hato	3	Yeseña(2); Mateo(1)		hato t'ay chi ol och juntik t'a hin kamix tik. | hato kik'an.	hasta all√≠ me van ha poner esto en mi camisa.. | hasta mañana.
chanhe'	3	Yeseña(2); Mateo(1)		chanhe'. | chanhe'.	cuatro. | cuatro.
wala'	3	Yeseña(2); Mateo(1)		ha alex ol wala'. | wala'.	Alex voy a decir. | voy a decir.
malajin	3	Mateo(3)		malajin. | malajin.	no estoy. | no estoy.
b'o	3	Yeseña(2); Mateo(1)		b't /b'o hin komida. | hin b'o han is.	ve a hacer mi comida. | arreglemos la papa.
woltik	3	Mateo(3)		nok' woltik. | hin woltik.	la pelota. | mi pelota.
keneya	3	Yeseña(2); Mateo(1)		hin keneya. | keneya.	mi banano. | banano.
kalleta	3	Mateo(3)		hin kalleta. | hi /k'ux jun kalleta tik.	mi galleta. | voy a comer esta galleta.
matin	3	Mateo(2); Yeseña(1)		ak' ixim yik waj matin tik. | xal nok'a lopil matin?	/dae uno a M. | M y tu capixay?
emxi	3	Mateo(3)		tik tzonh emxi. | ix emxi ix.	nos vajamos. | ya se fue ella.
tek'kut	3	Mateo(3)		tek'kut t'ayin edwinh. | /tek'kut t'ayin.	patealo conmigo E. | patelo conmigo.
winhaj	3	Mateo(3)		ha winhaj alex. | ha winhaj edwinh.	es Alex. | fue E.
mexa	3	Yeseña(2); Mateo(1)		ha te mexa. | mexa.	es la mesa. | mesa.
ak'kuti	3	Mateo(3)		/ak'kuti. | /ak'kuti.	damelo. | damelo.
papa	3	Mateo(2); Yeseña(1)		winhin papa. | sman winhin papa.	mi padre. | mi padre me compra.
mana'	3	Yeseña(2); Mateo(1)		ixin /mana'. | mana'.	lo compre. | compra.
yib'anh	3	Mateo(3)		t'ay yib'anh ix el ix. | yo ha yib'anh jun karro.	ella saliÛ arriba. | oh arriba de un carro.
yeli	3	Mateo(3)		yeli. | punh /yeli.	salio. | se explotÛ.
anh	3	Yeseña(2); Mateo(1)		anh. | hinyam anh.	planta. | lo agarro.
moto	3	Mateo(3)		/kak' moto. | hin moto.	juguemos moto. | mi moto.
unin	3	Yeseña(2); Mateo(1)		unin. | ix unin tik.	niño. | la niña esta.
emok	3	Mateo(3)		hin /emok. | hin /emok.	me bajo. | me bajo.
t'aychi'	3	Mateo(3)		t'aychi'. | t'aychi'.	ahi. | ahi.
tz'i'	3	Mateo(2); Yeseña(1)		nok' tz'i'. | ha nok' tz'i'.	el perro. | es el perro.
karambola	3	Mateo(3)		yo sb'at k'en karambola. | karambola.	oh se va la canica. | canica.
papis	3	Yeseña(3)		papis o wo'och. | papis o wo'och.	tortillas. | tortilla.
ikoti'	3	Yeseña(3)		ikoti'. | ikoti'.	traigalo. | traélo o traígalo.
b'alunhe'	3	Yeseña(3)		b'alunhe'. | b'alunhe'.	nueve. | nueve.
hoye'	3	Yeseña(3)		hoye'. | hoye' wa'il.	cinco. | cinco tortillas.
chay	3	Yeseña(3)		chay. | chay.	pescado. | pescado.
kopes	3	Yeseña(3)		kopes. | kopes.	jovencita. | jovencita.
onhte'	3	Yeseña(3)		t'a Yol onhte'. | Yol onhte'.	en la Aldea Yol onhte'. | Yol onhte'.
lusi	3	Yeseña(3)		Lusi. | lusi.	Lusi. | Lucía.
wanhb'al	3	Yeseña(3)		wanhb'al chi'. | wanhb'al.	mi medicamento pues. | mi medicina.
tzaji'	3	Yeseña(3)		tzin tzaji'. | tzin tzaji'.	me cago. | me cago.
xanhab'	3	Yeseña(3)		xanhab'. | mamin nok' xanhab'.	zapato. | papá el zapato.
hintek'	3	Yeseña(3)		hintek', hintek'. | hintek', hintek'.	mi comida, mi comida. | mi comida, mi comida.
pech	3	Yeseña(3)		wo'och o pech. | ha nok' pech.	tortilla(pedir) o pato. | es un pato.
ten	3	Yeseña(3)		ten o tenga allí. | ten.	ni' t'ay. | ni'.
es	3	Yeseña(3)		es que lo va ha tomar. | es usted.	to syuk'ej. | ha'ach.
aquí	3	Yeseña(3)		aquí. | aquí está.	t'a tik. | ni' tik.
está	3	Yeseña(3)		aquí está. | donde está tu corral.	ni' tik. | b'ajay hamakte'.
él	3	Yeseña(3)		en la casa de él. | en la casa de él.	t'a sb'at winh. | t'a spat winh.
ana'	3	Yeseña(3)		Ana' Lusin. | Ana' Lusin.	Ana Lucía. | Ana lucía.
katal	3	Yeseña(3)		tas syak' ix Katal t'ayach. | katal.	que es lo que Catarina te dá. | catarina.
s	3	Yeseña(3)		s/yuk' yuk'em nok'. | s/b'at mik.	toma su atol el animal. | se va la basura.
kokape	3	Yeseña(3)		haxo kokape. | kokape.	ahora nuestra café. | nuestra café.
chich	3	Yeseña(3)		/ni nun chich o nun chichim. | nun chich.	ten abuelita. | abuelita.
karlos	3	Yeseña(3)		/tajnel yet' karlos. | karlos.	juego con C. | C.
kopat	3	Yeseña(3)		sk'e te' kopat. | to sko/b'o te' kopat.	se construye nuestra casa. | es que vamos a hacer nuestra casa.
ma	2	Brendo(1); Yeseña(1)		ma´ay. | ma.	no. | ma.
munil	2	Francisco(1); Mateo(1)		munil. | munil.	ya basta. | dejala.
payu'	2	Isabel(2)		payu'. | to wik k'ak payu' tik.	panuelo. | es que es mío el panuelo.
k'ak	2	Isabel(1); Yeseña(1)		to wik k'ak payu' tik. | k'ak.	es que es mío el panuelo. | fuego.
ak'kot	2	Isabel(2)		ak'kot wib'an o ak'kot t'a yich hinpatik. | ak'kot wib'an o ak'kot t'a yich hinpatik.	damelo en la espalda. | damelo en la espalda.
xapin	2	Isabel(2)		Xapin. | chel Xapin.	Sebastián. | cargá Sebastián.
punhnajok	2	Isabel(2)		tz'em punhnajok o tz'em latnajok. | tz'em punhnajok.	se caé. | se caé.
k'ojan	2	Isabel(1); Mateo(1)		emanh k'ojan. | emanh /k'ojan.	sentate. | tome aciento.
xepel	2	Isabel(2)		isa o Xepel. | Xep o Xepel.	I. | Isa o I.
tzik'ot	2	Isabel(2)		tzik'ot hinpekal. | tzik'ot hinpek'al.	me traes glotones. | me traes glotones.
xa	2	Isabel(1); Mateo(1)		Malpal xa chi. | xa pojtab'ati.	María decí. | no lo vayas a quebrar.
b'o'o	2	Isabel(1); Mateo(1)		b'o'o. | tzin b'o'o.	hágalo. | lo hago.
oy	2	Isabel(1); Mateo(1)		¡oy!. | 	¡oh!.
b'ajtil	2	Isabel(1); Mateo(1)		b'ajtil ayek' winh jun. | b'ajtil tzonh b'ati?	donde se encuentra él pues. | a donde nos vamos?
yo'ok	2	Isabel(2)		yo'ok. | yo'ok.	sus pies. | sus pies.
yo'	2	Isabel(2)		yo'. | ¡yo'!	¡oh!. | ¡oh!
uyyy	2	Isabel(1); Yeseña(1)		uyyy. | ¡uyyy nok' nono'!	¡uy!. | ¡uyyy el monstro!.
wuk'ab'	2	Isabel(1); Yeseña(1)		ix em wuk'ab'. | ma'ay ni wuk'ab'.	se cayó mi plato. | no aquí esta mi palto.
kuchu'	2	Isabel(2)		hawixta' tzin kuchu'. | tzin kuchu'.	voy a cargar mis juguetes. | lo voy a cargar.
hajun	2	Isabel(2)		hajun tik. | hajun chi'.	es esto. | fue eso o es eso.
hab'i	2	Isabel(1); Yeseña(1)		hab'i. | hab'i tzinach Lusin.	escucha. | oí, silencio Lucía.
wayi'	2	Isabel(1); Yeseña(1)		tzin wayi'. | kon wayi'.	me duermo. | dormimos.
pi	2	Isabel(2)		pi. | pi o pin.	pi. | pi o pin.
pin	2	Isabel(2)		pi o pin. | pin ei.	pi o pin. | pin ei.
tz'i	2	Isabel(2)		tz'i. | tz'i.	perro. | perro.
uy	2	Isabel(1); Yeseña(1)		¡uy! | ¡uy!.	¡uy! | ¡uy!.
tut	2	Isabel(1); Yeseña(1)		tut. | tut.	tut. | frijol.
tol	2	Isabel(1); Yeseña(1)		tol. | tol pat.	tol. | dentro de la casa.
ows	2	Isabel(2)		¡ows! | ¡ows!	¡ows! | ¡oh!
ti'	2	Isabel(1); Yeseña(1)		ti'. | cepillar (b'ik a ti'.	boca. | cepilla.
nini	2	Isabel(2)		nini. | nini.	nini. | nini.
b'i	2	Isabel(1); Mateo(1)		a /b'i. | tas ha b'i ke?	escucha. | como te llamas vos?
hawinh	2	Isabel(1); Yeseña(1)		hawinh. | hawinh.	es él. | es él.
way	2	Isabel(1); Mateo(1)		way. | ix /way ix.	vay. | durmio ella.
tzil	2	Mateo(2)		tzil an wilaria. | tzil nok'.	hay que estar alerta pues vilaria. | hay que ver.
chonh	2	Mateo(1); Yeseña(1)		yo ha'inxo ixin chonh te tik. | chonh	y yo vend√≠ este palo. | tienda.
chen	2	Mateo(2)		chen. | /chen.	saltar. | saltar.
b'ajxumlaj	2	Mateo(2)		b'ajxumlaj. | b'ajxumlaj ix b'ati.	saber d√≥nde. | nose donde se fue.
yemxol	2	Mateo(2)		yemxol winh. | yemxol winh chi.	viene bajando √©l. | viene bajando √©l.
t'achi	2	Mateo(2)		emam kuman t'achi. | t'achi.	incate all√≠. | all√≠.
k'enchi	2	Mateo(2)		chik'ay k'enchi. | /ik'kut k'enchi t'ayin.	all√≠ esta el otro. | traelo ese ami.
ixb'at	2	Mateo(2)		ixb'at nok'. | ixb'at ix ( ).	se fue el perro. | ella se fue, ( ).
t'atik	2	Mateo(2)		lemach t'atik. | tek'kot t'atik.	ven√≠ aqui. | patealo aqui.
ixta'an	2	Mateo(2)		ixta'an. | ixta'an.	ya esta. | all√≠ esta pues.
wa'anh	2	Mateo(1); Yeseña(1)		wa'anh. | nulej wa'anh.	come. | hermana comé.
jelan	2	Mateo(2)		jelan, jelanach V. | jelan.	lista, lista V. | lista.
xchumam	2	Mateo(2)		xchumam an. | xchumam ix.	ah√≠ lo ver√°. | hay lo ver√° ella.
ixtik	2	Mateo(2)		ixtik. | ni ixtik.	as√≠ es. | aqui esta ella.
hachin	2	Mateo(1); Yeseña(1)		hachin tek'ta. | hachin chamk'o'ol.	no te voy a patear. | mi amor.
chi'an	2	Mateo(2)		kak' xikaro chi'an. | kak'xi karo chi'an, kak'xi karo chi.	jugamos carro otra vez. | jugamos carroa otra vez, jugamos carro.
at'achi	2	Mateo(2)		at'achi, at'achi. | at'achi, at'achi.	alli es. | alli es.
wik'	2	Mateo(1); Yeseña(1)		wik' tik. | wik' hex.	este es m√≠o. | son míos.
lamach	2	Mateo(2)		lamach. | lamach.	venga. | ven√≠.
xal	2	Mateo(2)		xal tazun k'en tik. | xal nok'a lopil matin?	y este otro. | M y tu capixay?
skot	2	Mateo(2)		t'ay tik skot ix. | /skot juxo nok'.	traela  ella aqui. | biene el otro.
ini'	2	Mateo(1); Yeseña(1)		ini' ha karro chi' ni'i. | ini' tik'.	aqu√≠ est√° tu carro mira. | aquí está.
nene	2	Mateo(2)		ixtej karro nene¬¥. | ni ha karro nene¬¥.	juega con carro nena. | tu carro nena.
sakarro	2	Mateo(2)		ni sakarro. | sakarro ix.	aqu√≠ est√° su carro. | carro de ella.
tz'upem	2	Mateo(2)		tz'upem (oso) | ni nok' tz'upem.	oso. | mira el oso.
oso	2	Mateo(1); Yeseña(1)		tz'upem (oso) | oso.	oso. | oso.
ixa	2	Mateo(1); Yeseña(1)		kak' ixa nene' | ajpe ay ixa Lucia.	le damos tu nena. | saber donde esta tú Lucia.
chela'	2	Mateo(1); Yeseña(1)		chela' | hin chela'.	tener un ni√±o en los brazos. | lo cargo.
naj	2	Mateo(1); Yeseña(1)		ol el punh naj ix. | ni naj kopat.	se va caer ella. | esto seria nuestra casa.
toxo	2	Mateo(2)		toxo ix wik'a yo. | toxo ixin ochi.	ya lo tengo. | ya entré.
jakxo	2	Mateo(1); Yeseña(1)		wak' jakxo et'ok. | jakxo hinkape.	voy a jugar otro poco contigo. | dame otro poco de café.
et'ok	2	Mateo(2)		wak' jakxo et'ok. | tama'ay manhxo ol wak'laj et'ok.	voy a jugar otro poco contigo. | sino ya no voy a jugar contigo.
sk'eta	2	Mateo(2)		wan sk'eta ix. | sk'eta ix.	ella est√° subiendo. | subir a ella.
yolb'e	2	Mateo(2)		ik'il ix yolb'e. | elanhek yolb'e.	quitala ella en el camino. | quitense en el camino.
b'ela	2	Mateo(2)		manto b'ela. | tanhwej b'ela.	espera por favor. | esperate.
man	2	Mateo(2)		man an. | ola man hin karro chi'!	compralo pues. | vas a comprar mi carro!
ilnab'i	2	Mateo(2)		ilnab'i. | /ilnab'i.	mira. | mira.
yak'an	2	Mateo(2)		yak'an ix ana. | kukuru /yak'an nok'.	hac√≠a ana. | kukuru a si lo hace.
ch'ox	2	Mateo(2)		hin ch'ox hinsat | tik ol hin ch'ox hin sat.	voy a persignar. | voy a persignar.
sat	2	Mateo(1); Yeseña(1)		tik ol hin ch'ox hin sat. | sat.	voy a persignar. | cara.
yowal	2	Mateo(2)		yowal winh ket'ok. | yowal ix./	est√° enojado √©l con nosotros. | esta enojada ella.
sk'e	2	Mateo(1); Yeseña(1)		ta sk'e ix jachkut ix t'ay tik t'ay tik ni. | sk'e te' kopat.	si sube ella, arrastrala ella aqu√≠ aqu√≠ mira . | se construye nuestra casa.
junok	2	Mateo(2)		ak' junok hin tumin. | junok wixta' nunin.	dame un dinero. | mami un mi juguete.
nok'chi'	2	Mateo(2)		in nok'chi'. | /in junxo nok'chi'.	ahi est. | ahi esta el otro.
xo	2	Mateo(1); Yeseña(1)		ha'in xo. | ha'in xo.	ahora yo. | ahora yo.
pilip	2	Mateo(2)		/pilip an. | /ik'kut an /pilip.	apurate pues. | traelo pues apurate.
hijun	2	Mateo(2)		hijun. | hijun ayinb'ati.	sì. | sì slì pues.
mak'	2	Mateo(2)		/mak'. | /mak'.	pegar. | pegar.
yakis	2	Mateo(2)		kak' yakis. | /kak' yakis.	juhuemos diaquis. | juguemos diaquis.
wak'ani	2	Mateo(2)		ichatik /wak'ani. | punh /wak'ani.	asi lo hago. | punh hacìa.
waj	2	Mateo(1); Yeseña(1)		ak' ixim yik waj matin tik. | yuk'ej waj Lukax.	/dae uno a M. | Lucas lo va ha tomar.
tz'uleli	2	Mateo(2)		/tz'uleli. | /tz'uleli.	hayn que pelar | hay que pelar.
tele	2	Mateo(2)		/wil tele. | wil tele.	voa a ver tele.+ M | voy a ver tele.
yo'ol	2	Mateo(1); Yeseña(1)		/ak'im yo'ol. | yo'ol k'o'ol.	ponga adentro. | alimento o comida.
machekel	2	Mateo(1); Yeseña(1)		machekel. | machekel.	nose. | no sé.
sjawi	2	Mateo(1); Yeseña(1)		b'at /kil /sjawi. | mata ix Ewin sjawi.	vamos ir a ver. | no ha llegado E todavia.
chavo	2	Mateo(1); Yeseña(1)		chavo. | wil Chavo del Ocho.	chavo. | voy ha ver Chavo del ocho.
sxanhab'	2	Mateo(2)		sxanhab' winh. | in sxanhab' winh.	zapato de el. | mira los zapatos de el.
chokolate	2	Mateo(1); Yeseña(1)		ay jun ko chokolate. | chokolate.	tenemos un chocolate. | chokolate.
juk'chaj	2	Mateo(2)		ix /juk'chaj nok'. | ix juk'chaj nok'.	lo lavaron. | lo lavaron.
tipat	2	Mateo(2)		t'ay tipat. | t'ay tipat.	en el patio. | en el patio.
chulaj	2	Mateo(2)		tzin chulaj ana. | tzin chulaj A.	voy a orinar ana. | orino A.
xonh	2	Mateo(2)		xonh telwita. | xonh /telwita.	podemos caer. | podemos caer.
telwita	2	Mateo(2)		xonh telwita. | xonh /telwita.	podemos caer. | podemos caer.
olb'at	2	Mateo(2)		olb'at wil ix mama. | olb'at chab' tik.	voy ir a ver a mam·. | se va ir esto.
ik'chajb'at	2	Mateo(2)		ix /ik'chajb'at nok' yoj ellk'um. | ix /ik'chajb'at nok' yoj elk'um.	lo llevaron los ladrones. | lo llevaron los ladrones
yoj	2	Mateo(2)		ix /ik'chajb'at nok' yoj ellk'um. | ix /ik'chajb'at nok' yoj elk'um.	lo llevaron los ladrones. | lo llevaron los ladrones
elk'um	2	Mateo(2)		ix /ik'chajb'at nok' yoj elk'um. | elk'um.	lo llevaron los ladrones | ladron.
tz'el	2	Mateo(2)		tz'el womwa. | tz'el womwa.	sale bomba. | sale bomba
junelxo	2	Mateo(2)		junelxo. | junelxo.	otraves. | otraves.
b'el	2	Mateo(2)		ha t'ay chi', manto b'el. | manto b'el.	es ahi espera. | esperate.
ochi	2	Mateo(1); Yeseña(1)		toxo ixin ochi. | ix ochi.	ya entré. | entro.
tajnok	2	Mateo(2)		hin /tajnok yet' ix. | nunin konh /tajnok.	/juego con ella. | mamá juguemos.
wuk'em	2	Mateo(2)		/ak' wuk'em nunin. | wuk'em.	dame bebida mami. | mi bebida.
yaj	2	Mateo(2)		ichatik yaj nok'. | ichatik yaj hin kalleta.	asi estaba la pelota. | asi está mi galleta.
chawanh	2	Mateo(2)		yo chawanh nok'. | chawanh nok'.	oh son dos pelotas. | son dos pelotas.
mamita	2	Mateo(1); Yeseña(1)		mamita. | mamita.	mamita. | mamita.
kak'och	2	Yeseña(2)		kak'och kopapis. | kak'och ko'och.	torteamos. | torteamos tortilla.
kopapis	2	Yeseña(2)		kak'och kopapis. | ixta ko/wa' kopapis.	torteamos. | ya esta vamos a comer.
ayda	2	Yeseña(2)		Ayda. | Ayda.	Yadira. | Yadira.
is	2	Yeseña(2)		hin b'o han is. | ha'anh is.	arreglemos la papa. | es la papa.
nh	2	Yeseña(2)		nh. | nh.	¡ah!. | ( ).
luchal	2	Yeseña(2)		luchal tek, luchal tek. | luchal tek, luchal tek.	cucharra, cucharra. | cucharra, cucharra.
wake'	2	Yeseña(2)		wake'. | wake'.	seis. | seis.
lajunhe'	2	Yeseña(2)		lajunhe'. | lajunhe'.	diez. | diez.
hinkape	2	Yeseña(2)		i' hinkape. | jakxo hinkape.	si mi café. | dame otro poco de café.
komam	2	Yeseña(2)		xit' winh komam. | winh komam.	fue nuestro papá. | nuestro papá.
oh	2	Yeseña(2)		oh. | ¡oh!.	oh. | ¡oh!.
chavito	2	Yeseña(2)		Chavito Ewin. | Chavito.	E Chavito. | Chavito.
xumak'	2	Yeseña(2)		xumak'. | xumak'.	flor. | flor.
